位,访问,操作说明,复位值
[31:16],,RSV,16‘h0
[15:0],RW,"Divider
FSCK  = FAPB_CLK/ ( 2 x (Divider +1))
注：master 有效
Motorola/TI/microwire 模式有效",16’h0
[31:16],,RSV,16’h0
[15:0],RW,"Divider
FSCK  = FAPB_CLK/ ( 2 x (Divider +1))
注：master 有效
Motorola/TI/microwire 模式有效",16’h0
