位,访问,操作说明,复位值
[31:16],RO,"slv_tx_length 作为slave 时，在 cs 有效期间，发送出去的数据长度，单位为bit
注：slave 有效
Motorola 模式有效",16’h0
[15:0],RO,"slv_rx_length 作为slave 时，在 cs 有效期间，接收到的数据长度，单位为bit
注：slave 有效
Motorola 模式有效",16’h0
