位,访问,操作说明,复位值
[31:13],,reserved保留,
[12],RW,"cts_status
当前cts 的状态",1’b0
[11: 6],RW,"rxfifo_count
rxfifo 中数据个数",6’h0
[5 : 0],RW,"txfifo_count
txfifo 中数据个数",6’h0
