位,访问,操作说明,复位值
[31: 5],,reserved保留,
[4 : 2],RW,"RTS_trigger_level
在afc_enable 有效时，决定何时需要将RTS 置无效。
3’h0：rxfifo 有 4 个以上字节 3’h1：rxfifo 有 8 个以上字节 3’h2：rxfifo 有 12 个以上字节 3’h3：rxfifo 有 16 个以上字节 3’h4：rxfifo 有 20 个以上字节 3’h5：rxfifo 有 24 个以上字节 3’h6：rxfifo 有 28 个以上字节
3’h7：rxfifo 有 31 个以上字节",3’h5
[1],RW,"RTS_set
当AFC_enable 无效时，软件可以通过设置此位来完成接收流量控制。当 AFC_enable
有效时，此位不关心。",1’b0
[0],RW,"afc_enable
1’b1：有效，接收条件rts 使用rts_trigger_level 控制产生。",1’b0
