位,访问,操作说明,复位值
[31: 2],,reserved保留,
[1],RW,"sec_stop
停止当前正在进行的加解密操作
1’b0：无效
1’b1：加/解密停止",1’b0
[0],RW,"sec_strt
启动加解密，完成加解密操作的byte 个数后，硬件自动清 0 1’b0：不启动加/解密
1’b1：启动加/解密",1’b0
