位,访问,操作说明,复位值
[31: 17],,保留,
[16],RW,"int_flag
软件写 1 清零
1’b0：不产生加/解密完成中断
1’b1：产生加/解密完成中断",1’b0
[15: 0],RO,"transfer_cnt
当前加密完成的字节个数。
每次重新开启加解密时清 0，并重新开始计数。",16’h0
