偏移地址,名称,缩写,访问,描述,复位值
0X0000,WDG 定时加载寄存器,WD_LD,RW,配置定时值，用于重复加载,0XFFFF_FFFF
0X0004,WDG 当前值寄存器,WD_VAL,RO,获取当前定时器的值,0XFFFF_FFFF
0X0008,WDG 控制寄存器,WD_CTRL,RW,控制寄存器,0X0000_0000
0X000C,WDG 中断清除寄存器,WD_CLR,WO,中断清除寄存器,0X0000_0000
0X0010,WDG 中断源寄存器,WD_SRC,RO,中断源寄存器,0X0000_0000
0X0014,WDG 中断输出寄存器,WD_STATE,RO,中断输出状态寄存器,0X0000_0000
