位,访问,操作说明,复位值
[31:17],RO,reserved保留,15’b0
[16],RW,"Timer0_en 使能位
1’b0：位使能。
1’b1：使能；",1’b0
[15: 0],RW,Timer0_value 的定时值，单位:秒,16’b0
