位,访问,操作说明,复位值
[31: 2],,保留,30’h0
[1],RW,"复位使能位
1’b0：WDG 复位条件产生时，不产生复位信号
1’b1：WDG 复位条件产生时，产生复位信号",1’b0
[0],RW,"定时使能位
1’b0：定时器不工作
1’b1：定时器工作，产生周期性中断",1’b0
