位,访问,操作说明,复位值
[31:24],,保留,
[23: 0],RW,"wait time 计数器（以 ETU 为单位）
7816 模式下：
CWT 和BWT 时间，配置为最大默认值。
（在 T1 模式下：BWT =（11 etu+ 2BWI*960*Fd/fsc））",24’h78000
