位,访问,操作说明,复位值
[31:20],,reserved保留,
[19:16],RW,"ubdiv_frac UART 模式：
系统时钟除以 16 倍波特率时钟商的小数部分指示。具体值为frac×16 。
（参考章节波特率计算方法）
7816 模式：
ubdiv_frac = (fclk_apb + fsc_clk)/(2 * fsc_clk) - 1;
（参考 7816 时钟计算方法）",4’h3
[15: 0],RW,"ubdiv
UART 模式：
系统时钟除以 16 倍波特率时钟商的整数部分减 1。默认系统时钟为 40MHz，波特率为 19200。
（参考波特率计算方法）
7816 模式：
ubdiv=Fi/Di (Fi、Di 为智能卡反馈的参数,edu 频率：f_etuclk = fsc_clk/(ubdiv+1))
（参考章节 7816 速率计算方法）",16’h82
