位,访问,操作说明,复位值
[31:24],,reserved保留,
[23: 8],RW,"total_byte
总共需要操作的byte 个数。需要与data_size 配置相一致，即若果为字操作，则应该为配置为 4 的整数倍；如果为半字操作，则应该配置为 2 的整数倍。",16’h0
[7],RW,"burst_size
设置DMA 每次搬运多少个单位的数据
1’b0：burst 为 1
1’b1：burst 为 4
当最后一次burst 大小超过剩余传输的个数时，使用burst 大小为剩余数据的大小。",1’b0
[6 : 5],RW,"data_size
设置DMA 的搬运单位
2’h0：byte
2’h1：half_word
2’h2：word
2’h3：保留",2’h0
[4 : 3],RW,"dest_addr_inc
2’h0：每次操作后目的地址不变；
2’h1：每次操作后目的地址自动累加。
2’h2：保留
2’h3：循环操作，每次操作后目的地址自动累加,到达定义的循环边界跳转到循环起始地址。",2’h0
[2 : 1],RW,"src_addr_inc
2’h0：每次操作后源地址不变；
2’h1：每次操作后源地址自动累加。
2’h2：保留
2’h3：循环操作，每次操作后源地址自动累加,到达定义的循环边界跳转到循环起始地址。",2’h0
[0],RW,"auto_reload
当完成当前DMA 搬运后，自动按当前DMA 配置重新下一次DMA 搬运。",1’b0
