位,访问,操作说明,复位值
[31: 2],,保留,
[1],RW,"dma_stop
停止dma 操作，高有效。
DMA 会在完成当前burst 操作后停止，并同时清除chnl_on。软件应根据chnl_on
为 0 确定dma 已经完全停止。",1’b0
[0],RW,"chnl_on
启动当前通道DMA 转换，高有效。
Dma 完成后转换或设置停止后，自动清 0。",1’b0
