位,访问,操作说明,复位值
[31:16],RW,"循环模式下，DMA 目的地址循环长度。
DMA 从起始地址依次递增搬运数据，当搬运数据字节数达到此设定值之后，会跳转到循环起始地址，从起始地址开始继续搬运数据",16’h0
[15: 0],RW,循环模式下，DMA 源地址循环长度。,16’h0
