位,访问,操作说明,复位值
[31: 1],RO,保留,
[ 0],RW,"Burst len，ahb master 访问总线时的burst 长度
0：burst len 为 1 字
1：burst len 为 4 字
建议设置为 4 个字的burst 传输，这样在spi 接口频率较高时，可以保证不断流",1’b0
