位,访问,操作说明,复位值
[31:10],RO,RSV,22’h0
[9:8],RO,"VALIDBYTE
最后一个字中可用的字节数。
2’b00：接收完成后，RXFIFO 中所有的字节都是可用的
2’b01：接收完成后，RXFIFO 中有 1 个字节是可用的
2’b10：接收完成后，RXFIFO 中有 2 个字节是可用的
2’b11：接收完成后，RXFIFO 中有 3 个字节是可用的",2’h0
[7:4],RO,"TXCNT
记录当前时刻TXFIFO 中字的个数。
4’b0000：没有数据
4’b0001：有 1 个字
…
4’b1000：有 8 个字",4’h0
[3:0],RO,"RXCNT
记录当前时刻RXFIFO 中字的个数。
4’b0000：没有数据
4’b0001：有 1 个字
…
4’b1000：有 8 个字",4’h0
