位,访问,操作说明,复位值
[31:16],RW,"CLKDIV1
CH1 分频计数器
由计数器值决定分频数
注意：分频范围为(0~65535)，如不需要分频，输入 0 或 1。",16’h0
[15:0],RW,"CLKDIV0
CH0 分频计数器同CH1",16’h0
