位,访问,操作说明,复位值
[31:16],RO,"PWM_FCAPDAT
捕获下降沿寄存器
当输入信号存在下降沿时，存储当前计数器值",16’h0
[15:0],RO,"PWM_RCAPDAT
捕获上升沿寄存器
当输入信号存在上升沿时，存储当前计数器值",16’h0
