位,访问,操作说明,复位值
[31:20],,保留,
[19:16],RW,"ubdiv_frac
系统时钟除以 16 倍波特率时钟商的小数部分指示。具体值为frac×16 。
（参考章节 2.3.2，波特率计算方法）",4’h3
[15: 0],RW,"ubdiv
系统时钟除以 16 倍波特率时钟商的整数部分减 1。默认系统时钟为 40MHz，波特率为 19200。
（参考章节 2.3.2，波特率计算方法）",16’h81
