位,访问,操作说明,复位值
[15: 1],RO,保留,
[0],RO,"IntMaskup_dat_cmd_rdy
中断屏蔽
0：中断没有被屏蔽，可以产生中断
1：中断被屏蔽
注： 建议采用主机自己内部的中断屏蔽，这样可以提高效率。",1’b0
