位,访问,操作说明,复位值
[15: 2],RO,保留,
[1],RO,"tx_cmdbuff_avail
标志发送cmd  的buff 是否可用，如果可用，则主机可以下发cmd。 0：发送buff 不可用
1：发送buff 可用",1’b0
[0],RO,"tx_buff_avail
标志发送buff 是否可用，如果可用，则主机可以下发数据。
0：发送buff 不可用
1：发送buff 可用",1’b0
